"date","LineDescription","rate"
"1",2011-12-02,"Unemployment rate",8.6
"2",2011-12-02,"Federal funds rate",0.12
"3",2011-12-02,"Personal consumption expenditures (PCE)",NA
"4",2011-12-02,"PCE excluding food and energy",NA
"5",2011-12-02,"Gross domestic product (GDP)",0.9
"6",2011-12-03,"Unemployment rate",8.6
"7",2011-12-03,"Federal funds rate",0.12
"8",2011-12-03,"Personal consumption expenditures (PCE)",NA
"9",2011-12-03,"PCE excluding food and energy",NA
"10",2011-12-03,"Gross domestic product (GDP)",0.9
"11",2011-12-04,"Unemployment rate",8.6
"12",2011-12-04,"Federal funds rate",0.12
"13",2011-12-04,"Personal consumption expenditures (PCE)",NA
"14",2011-12-04,"PCE excluding food and energy",NA
"15",2011-12-04,"Gross domestic product (GDP)",0.9
"16",2011-12-05,"Unemployment rate",8.6
"17",2011-12-05,"Federal funds rate",0.12
"18",2011-12-05,"Personal consumption expenditures (PCE)",NA
"19",2011-12-05,"PCE excluding food and energy",NA
"20",2011-12-05,"Gross domestic product (GDP)",0.9
"21",2011-12-06,"Unemployment rate",8.6
"22",2011-12-06,"Federal funds rate",0.12
"23",2011-12-06,"Personal consumption expenditures (PCE)",NA
"24",2011-12-06,"PCE excluding food and energy",NA
"25",2011-12-06,"Gross domestic product (GDP)",0.9
"26",2011-12-07,"Unemployment rate",8.6
"27",2011-12-07,"Federal funds rate",0.12
"28",2011-12-07,"Personal consumption expenditures (PCE)",NA
"29",2011-12-07,"PCE excluding food and energy",NA
"30",2011-12-07,"Gross domestic product (GDP)",0.9
"31",2011-12-08,"Unemployment rate",8.6
"32",2011-12-08,"Federal funds rate",0.12
"33",2011-12-08,"Personal consumption expenditures (PCE)",NA
"34",2011-12-08,"PCE excluding food and energy",NA
"35",2011-12-08,"Gross domestic product (GDP)",0.9
"36",2011-12-09,"Unemployment rate",8.6
"37",2011-12-09,"Federal funds rate",0.12
"38",2011-12-09,"Personal consumption expenditures (PCE)",NA
"39",2011-12-09,"PCE excluding food and energy",NA
"40",2011-12-09,"Gross domestic product (GDP)",0.9
"41",2011-12-10,"Unemployment rate",8.6
"42",2011-12-10,"Federal funds rate",0.12
"43",2011-12-10,"Personal consumption expenditures (PCE)",NA
"44",2011-12-10,"PCE excluding food and energy",NA
"45",2011-12-10,"Gross domestic product (GDP)",0.9
"46",2011-12-11,"Unemployment rate",8.6
"47",2011-12-11,"Federal funds rate",0.12
"48",2011-12-11,"Personal consumption expenditures (PCE)",NA
"49",2011-12-11,"PCE excluding food and energy",NA
"50",2011-12-11,"Gross domestic product (GDP)",0.9
"51",2011-12-12,"Unemployment rate",8.6
"52",2011-12-12,"Federal funds rate",0.12
"53",2011-12-12,"Personal consumption expenditures (PCE)",NA
"54",2011-12-12,"PCE excluding food and energy",NA
"55",2011-12-12,"Gross domestic product (GDP)",0.9
"56",2011-12-13,"Unemployment rate",8.6
"57",2011-12-13,"Federal funds rate",0.12
"58",2011-12-13,"Personal consumption expenditures (PCE)",NA
"59",2011-12-13,"PCE excluding food and energy",NA
"60",2011-12-13,"Gross domestic product (GDP)",0.9
"61",2011-12-14,"Unemployment rate",8.6
"62",2011-12-14,"Federal funds rate",0.12
"63",2011-12-14,"Personal consumption expenditures (PCE)",NA
"64",2011-12-14,"PCE excluding food and energy",NA
"65",2011-12-14,"Gross domestic product (GDP)",0.9
"66",2011-12-15,"Unemployment rate",8.6
"67",2011-12-15,"Federal funds rate",0.12
"68",2011-12-15,"Personal consumption expenditures (PCE)",NA
"69",2011-12-15,"PCE excluding food and energy",NA
"70",2011-12-15,"Gross domestic product (GDP)",0.9
"71",2011-12-16,"Unemployment rate",8.6
"72",2011-12-16,"Federal funds rate",0.12
"73",2011-12-16,"Personal consumption expenditures (PCE)",NA
"74",2011-12-16,"PCE excluding food and energy",NA
"75",2011-12-16,"Gross domestic product (GDP)",0.9
"76",2011-12-17,"Unemployment rate",8.6
"77",2011-12-17,"Federal funds rate",0.12
"78",2011-12-17,"Personal consumption expenditures (PCE)",NA
"79",2011-12-17,"PCE excluding food and energy",NA
"80",2011-12-17,"Gross domestic product (GDP)",0.9
"81",2011-12-18,"Unemployment rate",8.6
"82",2011-12-18,"Federal funds rate",0.12
"83",2011-12-18,"Personal consumption expenditures (PCE)",NA
"84",2011-12-18,"PCE excluding food and energy",NA
"85",2011-12-18,"Gross domestic product (GDP)",0.9
"86",2011-12-19,"Unemployment rate",8.6
"87",2011-12-19,"Federal funds rate",0.12
"88",2011-12-19,"Personal consumption expenditures (PCE)",NA
"89",2011-12-19,"PCE excluding food and energy",NA
"90",2011-12-19,"Gross domestic product (GDP)",0.9
"91",2011-12-20,"Unemployment rate",8.6
"92",2011-12-20,"Federal funds rate",0.12
"93",2011-12-20,"Personal consumption expenditures (PCE)",NA
"94",2011-12-20,"PCE excluding food and energy",NA
"95",2011-12-20,"Gross domestic product (GDP)",0.9
"96",2011-12-21,"Unemployment rate",8.6
"97",2011-12-21,"Federal funds rate",0.12
"98",2011-12-21,"Personal consumption expenditures (PCE)",NA
"99",2011-12-21,"PCE excluding food and energy",NA
"100",2011-12-21,"Gross domestic product (GDP)",0.9
"101",2011-12-22,"Unemployment rate",8.6
"102",2011-12-22,"Federal funds rate",0.12
"103",2011-12-22,"Personal consumption expenditures (PCE)",NA
"104",2011-12-22,"PCE excluding food and energy",NA
"105",2011-12-22,"Gross domestic product (GDP)",0.9
"106",2011-12-23,"Unemployment rate",8.6
"107",2011-12-23,"Federal funds rate",0.12
"108",2011-12-23,"Personal consumption expenditures (PCE)",NA
"109",2011-12-23,"PCE excluding food and energy",NA
"110",2011-12-23,"Gross domestic product (GDP)",0.9
"111",2011-12-24,"Unemployment rate",8.6
"112",2011-12-24,"Federal funds rate",0.12
"113",2011-12-24,"Personal consumption expenditures (PCE)",NA
"114",2011-12-24,"PCE excluding food and energy",NA
"115",2011-12-24,"Gross domestic product (GDP)",0.9
"116",2011-12-25,"Unemployment rate",8.6
"117",2011-12-25,"Federal funds rate",0.12
"118",2011-12-25,"Personal consumption expenditures (PCE)",NA
"119",2011-12-25,"PCE excluding food and energy",NA
"120",2011-12-25,"Gross domestic product (GDP)",0.9
"121",2011-12-26,"Unemployment rate",8.6
"122",2011-12-26,"Federal funds rate",0.12
"123",2011-12-26,"Personal consumption expenditures (PCE)",NA
"124",2011-12-26,"PCE excluding food and energy",NA
"125",2011-12-26,"Gross domestic product (GDP)",0.9
"126",2011-12-27,"Unemployment rate",8.6
"127",2011-12-27,"Federal funds rate",0.12
"128",2011-12-27,"Personal consumption expenditures (PCE)",NA
"129",2011-12-27,"PCE excluding food and energy",NA
"130",2011-12-27,"Gross domestic product (GDP)",0.9
"131",2011-12-28,"Unemployment rate",8.6
"132",2011-12-28,"Federal funds rate",0.12
"133",2011-12-28,"Personal consumption expenditures (PCE)",NA
"134",2011-12-28,"PCE excluding food and energy",NA
"135",2011-12-28,"Gross domestic product (GDP)",0.9
"136",2011-12-29,"Unemployment rate",8.6
"137",2011-12-29,"Federal funds rate",0.12
"138",2011-12-29,"Personal consumption expenditures (PCE)",NA
"139",2011-12-29,"PCE excluding food and energy",NA
"140",2011-12-29,"Gross domestic product (GDP)",0.9
"141",2011-12-30,"Unemployment rate",8.6
"142",2011-12-30,"Federal funds rate",0.12
"143",2011-12-30,"Personal consumption expenditures (PCE)",NA
"144",2011-12-30,"PCE excluding food and energy",NA
"145",2011-12-30,"Gross domestic product (GDP)",0.9
"146",2011-12-31,"Unemployment rate",8.5
"147",2011-12-31,"Federal funds rate",0.12
"148",2011-12-31,"Personal consumption expenditures (PCE)",NA
"149",2011-12-31,"PCE excluding food and energy",NA
"150",2011-12-31,"Gross domestic product (GDP)",1.6
"151",2012-01-01,"Unemployment rate",8.5
"152",2012-01-01,"Federal funds rate",0.12
"153",2012-01-01,"Personal consumption expenditures (PCE)",NA
"154",2012-01-01,"PCE excluding food and energy",NA
"155",2012-01-01,"Gross domestic product (GDP)",1.6
"156",2012-01-02,"Unemployment rate",8.5
"157",2012-01-02,"Federal funds rate",0.12
"158",2012-01-02,"Personal consumption expenditures (PCE)",NA
"159",2012-01-02,"PCE excluding food and energy",NA
"160",2012-01-02,"Gross domestic product (GDP)",1.6
"161",2012-01-03,"Unemployment rate",8.5
"162",2012-01-03,"Federal funds rate",0.12
"163",2012-01-03,"Personal consumption expenditures (PCE)",NA
"164",2012-01-03,"PCE excluding food and energy",NA
"165",2012-01-03,"Gross domestic product (GDP)",1.6
"166",2012-01-04,"Unemployment rate",8.5
"167",2012-01-04,"Federal funds rate",0.12
"168",2012-01-04,"Personal consumption expenditures (PCE)",NA
"169",2012-01-04,"PCE excluding food and energy",NA
"170",2012-01-04,"Gross domestic product (GDP)",1.6
"171",2012-01-05,"Unemployment rate",8.5
"172",2012-01-05,"Federal funds rate",0.12
"173",2012-01-05,"Personal consumption expenditures (PCE)",NA
"174",2012-01-05,"PCE excluding food and energy",NA
"175",2012-01-05,"Gross domestic product (GDP)",1.6
"176",2012-01-06,"Unemployment rate",8.5
"177",2012-01-06,"Federal funds rate",0.12
"178",2012-01-06,"Personal consumption expenditures (PCE)",NA
"179",2012-01-06,"PCE excluding food and energy",NA
"180",2012-01-06,"Gross domestic product (GDP)",1.6
"181",2012-01-07,"Unemployment rate",8.5
"182",2012-01-07,"Federal funds rate",0.12
"183",2012-01-07,"Personal consumption expenditures (PCE)",NA
"184",2012-01-07,"PCE excluding food and energy",NA
"185",2012-01-07,"Gross domestic product (GDP)",1.6
"186",2012-01-08,"Unemployment rate",8.5
"187",2012-01-08,"Federal funds rate",0.12
"188",2012-01-08,"Personal consumption expenditures (PCE)",NA
"189",2012-01-08,"PCE excluding food and energy",NA
"190",2012-01-08,"Gross domestic product (GDP)",1.6
"191",2012-01-09,"Unemployment rate",8.5
"192",2012-01-09,"Federal funds rate",0.12
"193",2012-01-09,"Personal consumption expenditures (PCE)",NA
"194",2012-01-09,"PCE excluding food and energy",NA
"195",2012-01-09,"Gross domestic product (GDP)",1.6
"196",2012-01-10,"Unemployment rate",8.5
"197",2012-01-10,"Federal funds rate",0.12
"198",2012-01-10,"Personal consumption expenditures (PCE)",NA
"199",2012-01-10,"PCE excluding food and energy",NA
"200",2012-01-10,"Gross domestic product (GDP)",1.6
"201",2012-01-11,"Unemployment rate",8.5
"202",2012-01-11,"Federal funds rate",0.12
"203",2012-01-11,"Personal consumption expenditures (PCE)",NA
"204",2012-01-11,"PCE excluding food and energy",NA
"205",2012-01-11,"Gross domestic product (GDP)",1.6
"206",2012-01-12,"Unemployment rate",8.5
"207",2012-01-12,"Federal funds rate",0.12
