"variable","des","forecast_period","values","date","projection","meeting_month","projection_year"
"1","Change in real GDP","Median1",2020-12-31,"-6.5",2020-06-10,20200610,"juni","2020"
"2","Change in real GDP","Median1",2021-12-31,"5.0",2020-06-10,20200610,"juni","2020"
"3","Change in real GDP","Median1",2022-12-31,"3.5",2020-06-10,20200610,"juni","2020"
"4","Change in real GDP","CentralTendency2",2020-12-31,"-7.6--5.5",2020-06-10,20200610,"juni","2020"
"5","Change in real GDP","CentralTendency2",2021-12-31,"4.5-6.0",2020-06-10,20200610,"juni","2020"
"6","Change in real GDP","CentralTendency2",2022-12-31,"3.0-4.5",2020-06-10,20200610,"juni","2020"
"7","Change in real GDP","Range3",2020-12-31,"-10.0--4.2",2020-06-10,20200610,"juni","2020"
"8","Change in real GDP","Range3",2021-12-31,"-1.0-7.0",2020-06-10,20200610,"juni","2020"
"9","Change in real GDP","Range3",2022-12-31,"2.0-6.0",2020-06-10,20200610,"juni","2020"
"10","December projection","Median1",2020-12-31,"2.0",2020-06-10,20200610,"juni","2020"
"11","December projection","Median1",2021-12-31,"1.9",2020-06-10,20200610,"juni","2020"
"12","December projection","Median1",2022-12-31,"1.8",2020-06-10,20200610,"juni","2020"
"13","December projection","CentralTendency2",2020-12-31,"2.0-2.2",2020-06-10,20200610,"juni","2020"
"14","December projection","CentralTendency2",2021-12-31,"1.8-2.0",2020-06-10,20200610,"juni","2020"
"15","December projection","CentralTendency2",2022-12-31,"1.8-2.0",2020-06-10,20200610,"juni","2020"
"16","December projection","Range3",2020-12-31,"1.8-2.3",2020-06-10,20200610,"juni","2020"
"17","December projection","Range3",2021-12-31,"1.7-2.2",2020-06-10,20200610,"juni","2020"
"18","December projection","Range3",2022-12-31,"1.5-2.2",2020-06-10,20200610,"juni","2020"
"19","Unemployment rate","Median1",2020-12-31,"9.3",2020-06-10,20200610,"juni","2020"
"20","Unemployment rate","Median1",2021-12-31,"6.5",2020-06-10,20200610,"juni","2020"
"21","Unemployment rate","Median1",2022-12-31,"5.5",2020-06-10,20200610,"juni","2020"
"22","Unemployment rate","CentralTendency2",2020-12-31,"9.0-10.0",2020-06-10,20200610,"juni","2020"
"23","Unemployment rate","CentralTendency2",2021-12-31,"5.9-7.5",2020-06-10,20200610,"juni","2020"
"24","Unemployment rate","CentralTendency2",2022-12-31,"4.8-6.1",2020-06-10,20200610,"juni","2020"
"25","Unemployment rate","Range3",2020-12-31,"7.0-14.0",2020-06-10,20200610,"juni","2020"
"26","Unemployment rate","Range3",2021-12-31,"4.5-12.0",2020-06-10,20200610,"juni","2020"
"27","Unemployment rate","Range3",2022-12-31,"4.0-8.0",2020-06-10,20200610,"juni","2020"
"28","December projection","Median1",2020-12-31,"3.5",2020-06-10,20200610,"juni","2020"
"29","December projection","Median1",2021-12-31,"3.6",2020-06-10,20200610,"juni","2020"
"30","December projection","Median1",2022-12-31,"3.7",2020-06-10,20200610,"juni","2020"
"31","December projection","CentralTendency2",2020-12-31,"3.5-3.7",2020-06-10,20200610,"juni","2020"
"32","December projection","CentralTendency2",2021-12-31,"3.5-3.9",2020-06-10,20200610,"juni","2020"
"33","December projection","CentralTendency2",2022-12-31,"3.5-4.0",2020-06-10,20200610,"juni","2020"
"34","December projection","Range3",2020-12-31,"3.3-3.8",2020-06-10,20200610,"juni","2020"
"35","December projection","Range3",2021-12-31,"3.3-4.0",2020-06-10,20200610,"juni","2020"
"36","December projection","Range3",2022-12-31,"3.3-4.1",2020-06-10,20200610,"juni","2020"
"37","PCE inflation","Median1",2020-12-31,"0.8",2020-06-10,20200610,"juni","2020"
"38","PCE inflation","Median1",2021-12-31,"1.6",2020-06-10,20200610,"juni","2020"
"39","PCE inflation","Median1",2022-12-31,"1.7",2020-06-10,20200610,"juni","2020"
"40","PCE inflation","CentralTendency2",2020-12-31,"0.6-1.0",2020-06-10,20200610,"juni","2020"
"41","PCE inflation","CentralTendency2",2021-12-31,"1.4-1.7",2020-06-10,20200610,"juni","2020"
"42","PCE inflation","CentralTendency2",2022-12-31,"1.6-1.8",2020-06-10,20200610,"juni","2020"
"43","PCE inflation","Range3",2020-12-31,"0.5-1.2",2020-06-10,20200610,"juni","2020"
"44","PCE inflation","Range3",2021-12-31,"1.1-2.0",2020-06-10,20200610,"juni","2020"
"45","PCE inflation","Range3",2022-12-31,"1.4-2.2",2020-06-10,20200610,"juni","2020"
"46","December projection","Median1",2020-12-31,"1.9",2020-06-10,20200610,"juni","2020"
"47","December projection","Median1",2021-12-31,"2.0",2020-06-10,20200610,"juni","2020"
"48","December projection","Median1",2022-12-31,"2.0",2020-06-10,20200610,"juni","2020"
"49","December projection","CentralTendency2",2020-12-31,"1.8-1.9",2020-06-10,20200610,"juni","2020"
"50","December projection","CentralTendency2",2021-12-31,"2.0-2.1",2020-06-10,20200610,"juni","2020"
"51","December projection","CentralTendency2",2022-12-31,"2.0-2.2",2020-06-10,20200610,"juni","2020"
"52","December projection","Range3",2020-12-31,"1.7-2.1",2020-06-10,20200610,"juni","2020"
"53","December projection","Range3",2021-12-31,"1.8-2.3",2020-06-10,20200610,"juni","2020"
"54","December projection","Range3",2022-12-31,"1.8-2.2",2020-06-10,20200610,"juni","2020"
"55","Core PCE inflation 4","Median1",2020-12-31,"1.0",2020-06-10,20200610,"juni","2020"
"56","Core PCE inflation 4","Median1",2021-12-31,"1.5",2020-06-10,20200610,"juni","2020"
"57","Core PCE inflation 4","Median1",2022-12-31,"1.7",2020-06-10,20200610,"juni","2020"
"58","Core PCE inflation 4","CentralTendency2",2020-12-31,"0.9-1.1",2020-06-10,20200610,"juni","2020"
"59","Core PCE inflation 4","CentralTendency2",2021-12-31,"1.4-1.7",2020-06-10,20200610,"juni","2020"
"60","Core PCE inflation 4","CentralTendency2",2022-12-31,"1.6-1.8",2020-06-10,20200610,"juni","2020"
"61","Core PCE inflation 4","Range3",2020-12-31,"0.7-1.3",2020-06-10,20200610,"juni","2020"
"62","Core PCE inflation 4","Range3",2021-12-31,"1.2-2.0",2020-06-10,20200610,"juni","2020"
"63","Core PCE inflation 4","Range3",2022-12-31,"1.2-2.2",2020-06-10,20200610,"juni","2020"
"64","December projection","Median1",2020-12-31,"1.9",2020-06-10,20200610,"juni","2020"
"65","December projection","Median1",2021-12-31,"2.0",2020-06-10,20200610,"juni","2020"
"66","December projection","Median1",2022-12-31,"2.0",2020-06-10,20200610,"juni","2020"
"67","December projection","CentralTendency2",2020-12-31,"1.9-2.0",2020-06-10,20200610,"juni","2020"
"68","December projection","CentralTendency2",2021-12-31,"2.0-2.1",2020-06-10,20200610,"juni","2020"
"69","December projection","CentralTendency2",2022-12-31,"2.0-2.2",2020-06-10,20200610,"juni","2020"
"70","December projection","Range3",2020-12-31,"1.7-2.1",2020-06-10,20200610,"juni","2020"
"71","December projection","Range3",2021-12-31,"1.8-2.3",2020-06-10,20200610,"juni","2020"
"72","December projection","Range3",2022-12-31,"1.8-2.2",2020-06-10,20200610,"juni","2020"
"73","Memo: Projected appropriate policy path","Median1",2020-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"74","Memo: Projected appropriate policy path","Median1",2021-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"75","Memo: Projected appropriate policy path","Median1",2022-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"76","Memo: Projected appropriate policy path","CentralTendency2",2020-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"77","Memo: Projected appropriate policy path","CentralTendency2",2021-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"78","Memo: Projected appropriate policy path","CentralTendency2",2022-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"79","Memo: Projected appropriate policy path","Range3",2020-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"80","Memo: Projected appropriate policy path","Range3",2021-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"81","Memo: Projected appropriate policy path","Range3",2022-12-31,"Memo: Projected appropriate policy path",2020-06-10,20200610,"juni","2020"
"82","Federal funds rate","Median1",2020-12-31,"0.1",2020-06-10,20200610,"juni","2020"
"83","Federal funds rate","Median1",2021-12-31,"0.1",2020-06-10,20200610,"juni","2020"
"84","Federal funds rate","Median1",2022-12-31,"0.1",2020-06-10,20200610,"juni","2020"
"85","Federal funds rate","CentralTendency2",2020-12-31,"0.1",2020-06-10,20200610,"juni","2020"
"86","Federal funds rate","CentralTendency2",2021-12-31,"0.1",2020-06-10,20200610,"juni","2020"
"87","Federal funds rate","CentralTendency2",2022-12-31,"0.1",2020-06-10,20200610,"juni","2020"
"88","Federal funds rate","Range3",2020-12-31,"0.1",2020-06-10,20200610,"juni","2020"
"89","Federal funds rate","Range3",2021-12-31,"0.1",2020-06-10,20200610,"juni","2020"
"90","Federal funds rate","Range3",2022-12-31,"0.1-1.1",2020-06-10,20200610,"juni","2020"
"91","December projection","Median1",2020-12-31,"1.6",2020-06-10,20200610,"juni","2020"
"92","December projection","Median1",2021-12-31,"1.9",2020-06-10,20200610,"juni","2020"
"93","December projection","Median1",2022-12-31,"2.1",2020-06-10,20200610,"juni","2020"
"94","December projection","CentralTendency2",2020-12-31,"1.6-1.9",2020-06-10,20200610,"juni","2020"
"95","December projection","CentralTendency2",2021-12-31,"1.6-2.1",2020-06-10,20200610,"juni","2020"
"96","December projection","CentralTendency2",2022-12-31,"1.9-2.6",2020-06-10,20200610,"juni","2020"
"97","December projection","Range3",2020-12-31,"1.6-1.9",2020-06-10,20200610,"juni","2020"
"98","December projection","Range3",2021-12-31,"1.6-2.4",2020-06-10,20200610,"juni","2020"
"99","December projection","Range3",2022-12-31,"1.6-2.9",2020-06-10,20200610,"juni","2020"
"100","Change in real GDP","Median1",2020-12-31,"-3.7",2020-09-16,20200916,"september","2020"
"101","Change in real GDP","Median1",2021-12-31,"4.0",2020-09-16,20200916,"september","2020"
"102","Change in real GDP","Median1",2022-12-31,"3.0",2020-09-16,20200916,"september","2020"
"103","Change in real GDP","Median1",2023-12-31,"2.5",2020-09-16,20200916,"september","2020"
"104","Change in real GDP","CentralTendency2",2020-12-31,"-4.0–-3.0",2020-09-16,20200916,"september","2020"
"105","Change in real GDP","CentralTendency2",2021-12-31,"3.6–4.7",2020-09-16,20200916,"september","2020"
"106","Change in real GDP","CentralTendency2",2022-12-31,"2.5–3.3",2020-09-16,20200916,"september","2020"
"107","Change in real GDP","CentralTendency2",2023-12-31,"2.4–3.0",2020-09-16,20200916,"september","2020"
"108","Change in real GDP","Range3",2020-12-31,"-5.5–1.0",2020-09-16,20200916,"september","2020"
"109","Change in real GDP","Range3",2021-12-31,"0.0–5.5",2020-09-16,20200916,"september","2020"
"110","Change in real GDP","Range3",2022-12-31,"2.0–4.5",2020-09-16,20200916,"september","2020"
"111","Change in real GDP","Range3",2023-12-31,"2.0–4.0",2020-09-16,20200916,"september","2020"
"112","June projection","Median1",2020-12-31,"-6.5",2020-09-16,20200916,"september","2020"
"113","June projection","Median1",2021-12-31,"5.0",2020-09-16,20200916,"september","2020"
"114","June projection","Median1",2022-12-31,"3.5",2020-09-16,20200916,"september","2020"
"115","June projection","Median1",2023-12-31,"",2020-09-16,20200916,"september","2020"
"116","June projection","CentralTendency2",2020-12-31,"-7.6–-5.5",2020-09-16,20200916,"september","2020"
"117","June projection","CentralTendency2",2021-12-31,"4.5–6.0",2020-09-16,20200916,"september","2020"
"118","June projection","CentralTendency2",2022-12-31,"3.0–4.5",2020-09-16,20200916,"september","2020"
"119","June projection","CentralTendency2",2023-12-31,"",2020-09-16,20200916,"september","2020"
"120","June projection","Range3",2020-12-31,"-10.0–-4.2",2020-09-16,20200916,"september","2020"
"121","June projection","Range3",2021-12-31,"-1.0–7.0",2020-09-16,20200916,"september","2020"
"122","June projection","Range3",2022-12-31,"2.0–6.0",2020-09-16,20200916,"september","2020"
"123","June projection","Range3",2023-12-31,"",2020-09-16,20200916,"september","2020"
"124","Unemployment rate","Median1",2020-12-31,"7.6",2020-09-16,20200916,"september","2020"
"125","Unemployment rate","Median1",2021-12-31,"5.5",2020-09-16,20200916,"september","2020"
"126","Unemployment rate","Median1",2022-12-31,"4.6",2020-09-16,20200916,"september","2020"
"127","Unemployment rate","Median1",2023-12-31,"4.0",2020-09-16,20200916,"september","2020"
"128","Unemployment rate","CentralTendency2",2020-12-31,"7.0–8.0",2020-09-16,20200916,"september","2020"
"129","Unemployment rate","CentralTendency2",2021-12-31,"5.0–6.2",2020-09-16,20200916,"september","2020"
"130","Unemployment rate","CentralTendency2",2022-12-31,"4.0–5.0",2020-09-16,20200916,"september","2020"
"131","Unemployment rate","CentralTendency2",2023-12-31,"3.5–4.4",2020-09-16,20200916,"september","2020"
"132","Unemployment rate","Range3",2020-12-31,"6.5–8.0",2020-09-16,20200916,"september","2020"
"133","Unemployment rate","Range3",2021-12-31,"4.0–8.0",2020-09-16,20200916,"september","2020"
"134","Unemployment rate","Range3",2022-12-31,"3.5–7.5",2020-09-16,20200916,"september","2020"
"135","Unemployment rate","Range3",2023-12-31,"3.5–6.0",2020-09-16,20200916,"september","2020"
"136","June projection","Median1",2020-12-31,"9.3",2020-09-16,20200916,"september","2020"
"137","June projection","Median1",2021-12-31,"6.5",2020-09-16,20200916,"september","2020"
"138","June projection","Median1",2022-12-31,"5.5",2020-09-16,20200916,"september","2020"
"139","June projection","Median1",2023-12-31,"",2020-09-16,20200916,"september","2020"
"140","June projection","CentralTendency2",2020-12-31,"9.0–10.0",2020-09-16,20200916,"september","2020"
"141","June projection","CentralTendency2",2021-12-31,"5.9–7.5",2020-09-16,20200916,"september","2020"
"142","June projection","CentralTendency2",2022-12-31,"4.8–6.1",2020-09-16,20200916,"september","2020"
"143","June projection","CentralTendency2",2023-12-31,"",2020-09-16,20200916,"september","2020"
"144","June projection","Range3",2020-12-31,"7.0–14.0",2020-09-16,20200916,"september","2020"
"145","June projection","Range3",2021-12-31,"4.5–12.0",2020-09-16,20200916,"september","2020"
"146","June projection","Range3",2022-12-31,"4.0–8.0",2020-09-16,20200916,"september","2020"
"147","June projection","Range3",2023-12-31,"",2020-09-16,20200916,"september","2020"
"148","PCE inflation","Median1",2020-12-31,"1.2",2020-09-16,20200916,"september","2020"
"149","PCE inflation","Median1",2021-12-31,"1.7",2020-09-16,20200916,"september","2020"
"150","PCE inflation","Median1",2022-12-31,"1.8",2020-09-16,20200916,"september","2020"
"151","PCE inflation","Median1",2023-12-31,"2.0",2020-09-16,20200916,"september","2020"
"152","PCE inflation","CentralTendency2",2020-12-31,"1.1–1.3",2020-09-16,20200916,"september","2020"
"153","PCE inflation","CentralTendency2",2021-12-31,"1.6–1.9",2020-09-16,20200916,"september","2020"
"154","PCE inflation","CentralTendency2",2022-12-31,"1.7–1.9",2020-09-16,20200916,"september","2020"
"155","PCE inflation","CentralTendency2",2023-12-31,"1.9–2.0",2020-09-16,20200916,"september","2020"
"156","PCE inflation","Range3",2020-12-31,"1.0–1.5",2020-09-16,20200916,"september","2020"
"157","PCE inflation","Range3",2021-12-31,"1.3–2.4",2020-09-16,20200916,"september","2020"
"158","PCE inflation","Range3",2022-12-31,"1.5–2.2",2020-09-16,20200916,"september","2020"
"159","PCE inflation","Range3",2023-12-31,"1.7–2.1",2020-09-16,20200916,"september","2020"
"160","June projection","Median1",2020-12-31,".8",2020-09-16,20200916,"september","2020"
"161","June projection","Median1",2021-12-31,"1.6",2020-09-16,20200916,"september","2020"
"162","June projection","Median1",2022-12-31,"1.7",2020-09-16,20200916,"september","2020"
"163","June projection","Median1",2023-12-31,"",2020-09-16,20200916,"september","2020"
"164","June projection","CentralTendency2",2020-12-31,"0.6–1.0",2020-09-16,20200916,"september","2020"
"165","June projection","CentralTendency2",2021-12-31,"1.4–1.7",2020-09-16,20200916,"september","2020"
"166","June projection","CentralTendency2",2022-12-31,"1.6–1.8",2020-09-16,20200916,"september","2020"
"167","June projection","CentralTendency2",2023-12-31,"",2020-09-16,20200916,"september","2020"
"168","June projection","Range3",2020-12-31,"0.5–1.2",2020-09-16,20200916,"september","2020"
"169","June projection","Range3",2021-12-31,"1.1–2.0",2020-09-16,20200916,"september","2020"
"170","June projection","Range3",2022-12-31,"1.4–2.2",2020-09-16,20200916,"september","2020"
"171","June projection","Range3",2023-12-31,"",2020-09-16,20200916,"september","2020"
"172","Core PCE inflation4","Median1",2020-12-31,"1.5",2020-09-16,20200916,"september","2020"
"173","Core PCE inflation4","Median1",2021-12-31,"1.7",2020-09-16,20200916,"september","2020"
"174","Core PCE inflation4","Median1",2022-12-31,"1.8",2020-09-16,20200916,"september","2020"
"175","Core PCE inflation4","Median1",2023-12-31,"2.0",2020-09-16,20200916,"september","2020"
"176","Core PCE inflation4","CentralTendency2",2020-12-31,"1.3–1.5",2020-09-16,20200916,"september","2020"
"177","Core PCE inflation4","CentralTendency2",2021-12-31,"1.6–1.8",2020-09-16,20200916,"september","2020"
"178","Core PCE inflation4","CentralTendency2",2022-12-31,"1.7–1.9",2020-09-16,20200916,"september","2020"
"179","Core PCE inflation4","CentralTendency2",2023-12-31,"1.9–2.0",2020-09-16,20200916,"september","2020"
"180","Core PCE inflation4","Range3",2020-12-31,"1.2–1.6",2020-09-16,20200916,"september","2020"
"181","Core PCE inflation4","Range3",2021-12-31,"1.5–2.4",2020-09-16,20200916,"september","2020"
"182","Core PCE inflation4","Range3",2022-12-31,"1.6–2.2",2020-09-16,20200916,"september","2020"
"183","Core PCE inflation4","Range3",2023-12-31,"1.7–2.1",2020-09-16,20200916,"september","2020"
