"variable","des","forecast_period","values","date"
"1","Change in real GDP","Median 1","2020","-6.5",20200610
"2","Change in real GDP","Median 1","2021","5.0",20200610
"3","Change in real GDP","Median 1","2022","3.5",20200610
"4","Change in real GDP","Median 1","Longer run","1.8",20200610
"5","Change in real GDP","Central Tendency 2","2020","-7.6--5.5",20200610
"6","Change in real GDP","Central Tendency 2","2021","4.5-6.0",20200610
"7","Change in real GDP","Central Tendency 2","2022","3.0-4.5",20200610
"8","Change in real GDP","Central Tendency 2","Longer run","1.7-2.0",20200610
"9","Change in real GDP","Range 3","2020","-10.0--4.2",20200610
"10","Change in real GDP","Range 3","2021","-1.0-7.0",20200610
"11","Change in real GDP","Range 3","2022","2.0-6.0",20200610
"12","Change in real GDP","Range 3","Longer run","1.6-2.2",20200610
"13","December projection","Median 1","2020","2.0",20200610
"14","December projection","Median 1","2021","1.9",20200610
"15","December projection","Median 1","2022","1.8",20200610
"16","December projection","Median 1","Longer run","1.9",20200610
"17","December projection","Central Tendency 2","2020","2.0-2.2",20200610
"18","December projection","Central Tendency 2","2021","1.8-2.0",20200610
"19","December projection","Central Tendency 2","2022","1.8-2.0",20200610
"20","December projection","Central Tendency 2","Longer run","1.8-2.0",20200610
"21","December projection","Range 3","2020","1.8-2.3",20200610
"22","December projection","Range 3","2021","1.7-2.2",20200610
"23","December projection","Range 3","2022","1.5-2.2",20200610
"24","December projection","Range 3","Longer run","1.7-2.2",20200610
"25","Unemployment rate","Median 1","2020","9.3",20200610
"26","Unemployment rate","Median 1","2021","6.5",20200610
"27","Unemployment rate","Median 1","2022","5.5",20200610
"28","Unemployment rate","Median 1","Longer run","4.1",20200610
"29","Unemployment rate","Central Tendency 2","2020","9.0-10.0",20200610
"30","Unemployment rate","Central Tendency 2","2021","5.9-7.5",20200610
"31","Unemployment rate","Central Tendency 2","2022","4.8-6.1",20200610
"32","Unemployment rate","Central Tendency 2","Longer run","4.0-4.3",20200610
"33","Unemployment rate","Range 3","2020","7.0-14.0",20200610
"34","Unemployment rate","Range 3","2021","4.5-12.0",20200610
"35","Unemployment rate","Range 3","2022","4.0-8.0",20200610
"36","Unemployment rate","Range 3","Longer run","3.5-4.7",20200610
"37","December projection","Median 1","2020","3.5",20200610
"38","December projection","Median 1","2021","3.6",20200610
"39","December projection","Median 1","2022","3.7",20200610
"40","December projection","Median 1","Longer run","4.1",20200610
"41","December projection","Central Tendency 2","2020","3.5-3.7",20200610
"42","December projection","Central Tendency 2","2021","3.5-3.9",20200610
"43","December projection","Central Tendency 2","2022","3.5-4.0",20200610
"44","December projection","Central Tendency 2","Longer run","3.9-4.3",20200610
"45","December projection","Range 3","2020","3.3-3.8",20200610
"46","December projection","Range 3","2021","3.3-4.0",20200610
"47","December projection","Range 3","2022","3.3-4.1",20200610
"48","December projection","Range 3","Longer run","3.5-4.5",20200610
"49","PCE inflation","Median 1","2020","0.8",20200610
"50","PCE inflation","Median 1","2021","1.6",20200610
"51","PCE inflation","Median 1","2022","1.7",20200610
"52","PCE inflation","Median 1","Longer run","2.0",20200610
"53","PCE inflation","Central Tendency 2","2020","0.6-1.0",20200610
"54","PCE inflation","Central Tendency 2","2021","1.4-1.7",20200610
