"variable","des","forecast_period","values","date","projection","meeting_month"
"1","Change in real GDP","Median 1",2020-12-31,-6.5,2020-06-10,20200610,"juni"
"2","Change in real GDP","Median 1",2021-12-31,5,2020-06-10,20200610,"juni"
"3","Change in real GDP","Median 1",2022-12-31,3.5,2020-06-10,20200610,"juni"
"4","Change in real GDP","Median 1",NA,1.8,2020-06-10,20200610,"juni"
"5","Change in real GDP","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"6","Change in real GDP","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"7","Change in real GDP","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"8","Change in real GDP","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"9","Change in real GDP","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"10","Change in real GDP","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"11","Change in real GDP","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"12","Change in real GDP","Range 3",NA,NA,2020-06-10,20200610,"juni"
"13","December projection","Median 1",2020-12-31,2,2020-06-10,20200610,"juni"
"14","December projection","Median 1",2021-12-31,1.9,2020-06-10,20200610,"juni"
"15","December projection","Median 1",2022-12-31,1.8,2020-06-10,20200610,"juni"
"16","December projection","Median 1",NA,1.9,2020-06-10,20200610,"juni"
"17","December projection","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"18","December projection","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"19","December projection","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"20","December projection","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"21","December projection","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"22","December projection","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"23","December projection","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"24","December projection","Range 3",NA,NA,2020-06-10,20200610,"juni"
"25","Unemployment rate","Median 1",2020-12-31,9.3,2020-06-10,20200610,"juni"
"26","Unemployment rate","Median 1",2021-12-31,6.5,2020-06-10,20200610,"juni"
"27","Unemployment rate","Median 1",2022-12-31,5.5,2020-06-10,20200610,"juni"
"28","Unemployment rate","Median 1",NA,4.1,2020-06-10,20200610,"juni"
"29","Unemployment rate","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"30","Unemployment rate","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"31","Unemployment rate","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"32","Unemployment rate","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"33","Unemployment rate","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"34","Unemployment rate","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"35","Unemployment rate","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"36","Unemployment rate","Range 3",NA,NA,2020-06-10,20200610,"juni"
"37","December projection","Median 1",2020-12-31,3.5,2020-06-10,20200610,"juni"
"38","December projection","Median 1",2021-12-31,3.6,2020-06-10,20200610,"juni"
"39","December projection","Median 1",2022-12-31,3.7,2020-06-10,20200610,"juni"
"40","December projection","Median 1",NA,4.1,2020-06-10,20200610,"juni"
"41","December projection","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"42","December projection","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"43","December projection","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"44","December projection","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"45","December projection","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"46","December projection","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"47","December projection","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"48","December projection","Range 3",NA,NA,2020-06-10,20200610,"juni"
"49","PCE inflation","Median 1",2020-12-31,0.8,2020-06-10,20200610,"juni"
"50","PCE inflation","Median 1",2021-12-31,1.6,2020-06-10,20200610,"juni"
"51","PCE inflation","Median 1",2022-12-31,1.7,2020-06-10,20200610,"juni"
"52","PCE inflation","Median 1",NA,2,2020-06-10,20200610,"juni"
"53","PCE inflation","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"54","PCE inflation","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"55","PCE inflation","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"56","PCE inflation","Central Tendency 2",NA,2,2020-06-10,20200610,"juni"
"57","PCE inflation","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"58","PCE inflation","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"59","PCE inflation","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"60","PCE inflation","Range 3",NA,2,2020-06-10,20200610,"juni"
